headline,publication_date,news_source,sector,sentiment_label,market_impact
India forex reserves hit 614 billion USD as RBI intervention stabilises rupee,2022-01-11 12:20:18.483696739,BloombergQuint,Pharma,Positive,Bullish
Bank of Baroda announces rights issue at ₹455 per share; record date set,2022-01-11 17:35:43.868773754,CNBC TV18,BFSI,Neutral,Neutral
FMCG sector FDI inflows at 4409 million USD in April-Jan FY24,2022-01-11 22:51:09.253850770,Reuters India,FMCG,Neutral,Neutral
NSE updates margin framework for equity derivatives from May onwards,2022-01-12 04:06:34.638927785,CNBC TV18,Infrastructure,Neutral,Neutral
Monsoon deficit at 38.3% below normal; agri-loan stress feared in Tier-2/3 markets,2022-01-12 09:22:00.024004800,MoneyControl,Energy,Negative,Bearish
Bond yields spike 50bps after higher-than-expected US Fed rate guidance,2022-01-12 14:37:25.409081816,Reuters India,Telecom,Negative,Bearish
RBI monetary policy committee holds repo rate at 6.31%; next review in Oct,2022-01-12 19:52:50.794158831,Economic Times,Telecom,Neutral,Neutral
Real Estate sector EBITDA margins expand QoQ amid easing input cost pressures,2022-01-13 01:08:16.179235847,Mint,Real Estate,Positive,Bullish
RBI hikes repo rate by 50 bps amid persistent services inflation concerns,2022-01-13 06:23:41.564312862,Business Standard,FMCG,Negative,Bearish
Sensex rallies 1043 points as FIIs pump ₹2022 Cr into Indian equities,2022-01-13 11:39:06.949389877,Mint,FMCG,Positive,Bullish
"HDFC Bank Q2 net profit surges 45.3%, beats Bloomberg analyst estimates",2022-01-13 16:54:32.334466893,MoneyControl,FMCG,Positive,Bullish
"India GDP growth accelerates to 14.0% in Q1, ahead of IMF projections",2022-01-13 22:09:57.719543908,MoneyControl,IT Services,Positive,Bullish
India current account deficit widens to 41.8% of GDP in Q1 FY24,2022-01-14 03:25:23.104620924,BloombergQuint,Auto,Negative,Bearish
NSE updates margin framework for equity derivatives from Dec onwards,2022-01-14 08:40:48.489697939,MoneyControl,BFSI,Neutral,Neutral
Sensex rallies 324 points as FIIs pump ₹4020 Cr into Indian equities,2022-01-14 13:56:13.874774955,Business Standard,IT Services,Positive,Bullish
Rupee depreciates to historic low of ₹86.51 on trade deficit widening,2022-01-14 19:11:39.259851970,MoneyControl,Auto,Negative,Bearish
"ICICI Bank Q1 net profit surges 23.1%, beats Bloomberg analyst estimates",2022-01-15 00:27:04.644928985,BloombergQuint,Energy,Positive,Bullish
Sensex rallies 570 points as FIIs pump ₹398 Cr into Indian equities,2022-01-15 05:42:30.030006001,MoneyControl,Auto,Positive,Bullish
"RBI keeps repo rate unchanged, signals accommodative stance for Q1 FY23",2022-01-15 10:57:55.415083016,MoneyControl,Telecom,Positive,Bullish
"RBI keeps repo rate unchanged, signals accommodative stance for Q3 FY22",2022-01-15 16:13:20.800160032,Reuters India,Pharma,Positive,Bullish
Nykaa announces ₹2269 Cr CAPEX for pan-India digital infrastructure rollout,2022-01-15 21:28:46.185237047,Mint,Energy,Positive,Bullish
"Punjab National Bank Q3 net profit surges 40.5%, beats Bloomberg analyst estimates",2022-01-16 02:44:11.570314062,Economic Times,FMCG,Positive,Bullish
BFSI sector FDI inflows at 264 million USD in April-Jul FY24,2022-01-16 07:59:36.955391078,Financial Express,BFSI,Neutral,Neutral
Kotak Mahindra announces rights issue at ₹360 per share; record date set,2022-01-16 13:15:02.340468093,Mint,Telecom,Neutral,Neutral
India WPI inflation prints at 16.3% for Feb; IIP data due next week,2022-01-16 18:30:27.725545109,Business Standard,Pharma,Neutral,Neutral
RBI monetary policy committee holds repo rate at 6.63%; next review in Apr,2022-01-16 23:45:53.110622124,Business Standard,IT Services,Neutral,Neutral
RBI monetary policy committee holds repo rate at 6.89%; next review in Oct,2022-01-17 05:01:18.495699139,MoneyControl,BFSI,Neutral,Neutral
Monsoon deficit at 33.0% below normal; agri-loan stress feared in Tier-2/3 markets,2022-01-17 10:16:43.880776155,Economic Times,Telecom,Negative,Bearish
NSE updates margin framework for equity derivatives from Aug onwards,2022-01-17 15:32:09.265853170,Business Standard,IT Services,Neutral,Neutral
"Yes Bank Q3 net profit surges 14.3%, beats Bloomberg analyst estimates",2022-01-17 20:47:34.650930186,Financial Express,Auto,Positive,Bullish
Credit card defaults surge 45.8% YoY; RBI flags retail lending risks,2022-01-18 02:03:00.036007201,MoneyControl,BFSI,Negative,Bearish
ICICI Bank board rejects merger proposal; institutional investors express concern,2022-01-18 07:18:25.421084216,CNBC TV18,Energy,Negative,Bearish
NCLAT hears Paytm insolvency appeal; next hearing scheduled for Feb,2022-01-18 12:33:50.806161232,CNBC TV18,Energy,Neutral,Neutral
"RBI keeps repo rate unchanged, signals accommodative stance for Q4 FY24",2022-01-18 17:49:16.191238247,Reuters India,Energy,Positive,Bullish
SEBI approves simplified IPO norms; Dalal Street cheers listing reforms,2022-01-18 23:04:41.576315263,Financial Express,IT Services,Positive,Bullish
RBI monetary policy committee holds repo rate at 7.16%; next review in Oct,2022-01-19 04:20:06.961392278,Business Standard,Telecom,Neutral,Neutral
Energy sector EBITDA margins expand QoQ amid easing input cost pressures,2022-01-19 09:35:32.346469293,Financial Express,Energy,Positive,Bullish
India WPI inflation prints at 17.4% for Jan; IIP data due next week,2022-01-19 14:50:57.731546309,Reuters India,Auto,Neutral,Neutral
RBI releases draft guidelines on digital lending regulations for public comment,2022-01-19 20:06:23.116623324,Economic Times,Energy,Neutral,Neutral
Energy sector FDI inflows at 2726 million USD in April-Sep FY23,2022-01-20 01:21:48.501700340,Mint,Energy,Neutral,Neutral
"Nifty 50 hits record 780 as broad-based rally lifts mid-cap, small-cap indices",2022-01-20 06:37:13.886777355,Mint,IT Services,Positive,Bullish
India WPI inflation prints at 44.9% for Nov; IIP data due next week,2022-01-20 11:52:39.271854370,Business Standard,Real Estate,Neutral,Neutral
GST collections cross ₹2315 Cr for Octth consecutive month,2022-01-20 17:08:04.656931386,Reuters India,Real Estate,Positive,Bullish
ICICI Bank announces rights issue at ₹364 per share; record date set,2022-01-20 22:23:30.042008401,Economic Times,Energy,Neutral,Neutral
India forex reserves hit 708 billion USD as RBI intervention stabilises rupee,2022-01-21 03:38:55.427085417,Business Standard,Energy,Positive,Bullish
India forex reserves hit 4425 billion USD as RBI intervention stabilises rupee,2022-01-21 08:54:20.812162432,MoneyControl,Real Estate,Positive,Bullish
FII outflows drag Sensex 336 points lower; rupee slips to 82.68 per USD,2022-01-21 14:09:46.197239447,BloombergQuint,IT Services,Negative,Bearish
HDFC Bank announces rights issue at ₹341 per share; record date set,2022-01-21 19:25:11.582316463,MoneyControl,Infrastructure,Neutral,Neutral
Real Estate sector EBITDA margins expand QoQ amid easing input cost pressures,2022-01-22 00:40:36.967393478,Business Standard,Real Estate,Positive,Bullish
India WPI inflation prints at 44.0% for Aug; IIP data due next week,2022-01-22 05:56:02.352470494,Economic Times,BFSI,Neutral,Neutral
GST collections cross ₹3015 Cr for Marth consecutive month,2022-01-22 11:11:27.737547509,MoneyControl,Metals & Mining,Positive,Bullish
Monsoon deficit at 28.0% below normal; agri-loan stress feared in Tier-2/3 markets,2022-01-22 16:26:53.122624524,MoneyControl,Pharma,Negative,Bearish
Punjab National Bank board rejects merger proposal; institutional investors express concern,2022-01-22 21:42:18.507701540,Reuters India,Auto,Negative,Bearish
NSE updates margin framework for equity derivatives from Oct onwards,2022-01-23 02:57:43.892778555,Financial Express,Real Estate,Neutral,Neutral
India WPI inflation prints at 34.9% for Feb; IIP data due next week,2022-01-23 08:13:09.277855571,CNBC TV18,Telecom,Neutral,Neutral
Sensex rallies 319 points as FIIs pump ₹4656 Cr into Indian equities,2022-01-23 13:28:34.662932586,Reuters India,Infrastructure,Positive,Bullish
RBI hikes repo rate by 35 bps amid persistent services inflation concerns,2022-01-23 18:44:00.048009601,Business Standard,Energy,Negative,Bearish
ICICI Bank upgrades credit outlook to 'Stable'; Moody's cites strong capital buffers,2022-01-23 23:59:25.433086617,Economic Times,Metals & Mining,Positive,Bullish
SEBI approves simplified IPO norms; Dalal Street cheers listing reforms,2022-01-24 05:14:50.818163632,MoneyControl,BFSI,Positive,Bullish
Auto sector FDI inflows at 2783 million USD in April-May FY23,2022-01-24 10:30:16.203240648,Financial Express,Auto,Neutral,Neutral
MSCI rebalancing: India's weight adjusted to 47.8%; 6 stocks added/removed,2022-01-24 15:45:41.588317663,CNBC TV18,Pharma,Neutral,Neutral
Punjab National Bank NPA ratio rises to 12.9% in Q1; provisions surge QoQ,2022-01-24 21:01:06.973394678,Mint,Metals & Mining,Negative,Bearish
Bond yields spike 35bps after higher-than-expected US Fed rate guidance,2022-01-25 02:16:32.358471694,CNBC TV18,Pharma,Negative,Bearish
SEBI approves simplified IPO norms; Dalal Street cheers listing reforms,2022-01-25 07:31:57.743548709,Financial Express,Energy,Positive,Bullish
Delhivery profit warning: EBITDA margins to decline 47.6% on high input costs,2022-01-25 12:47:23.128625725,Mint,Auto,Negative,Bearish
RBI hikes repo rate by 25 bps amid persistent services inflation concerns,2022-01-25 18:02:48.513702740,Economic Times,Telecom,Negative,Bearish
FMCG sector FDI inflows at 4556 million USD in April-Feb FY24,2022-01-25 23:18:13.898779755,BloombergQuint,FMCG,Neutral,Neutral
Bond yields spike 50bps after higher-than-expected US Fed rate guidance,2022-01-26 04:33:39.283856771,Financial Express,Pharma,Negative,Bearish
"Nifty 50 hits record 674 as broad-based rally lifts mid-cap, small-cap indices",2022-01-26 09:49:04.668933786,CNBC TV18,Metals & Mining,Positive,Bullish
Delhivery announces ₹3890 Cr CAPEX for pan-India digital infrastructure rollout,2022-01-26 15:04:30.054010802,Economic Times,Pharma,Positive,Bullish
Rupee depreciates to historic low of ₹83.41 on trade deficit widening,2022-01-26 20:19:55.439087817,BloombergQuint,Auto,Negative,Bearish
ONGC announces ₹871 Cr CAPEX for pan-India digital infrastructure rollout,2022-01-27 01:35:20.824164833,Economic Times,Auto,Positive,Bullish
Finance Ministry reviews PLI scheme performance across 7 key sectors,2022-01-27 06:50:46.209241848,MoneyControl,Energy,Neutral,Neutral
"Kotak Mahindra Q2 net profit surges 34.3%, beats Bloomberg analyst estimates",2022-01-27 12:06:11.594318863,BloombergQuint,IT Services,Positive,Bullish
"IT majors TCS, Infosys report strong deal wins; sector outlook upgraded to 'Buy'",2022-01-27 17:21:36.979395879,BloombergQuint,Real Estate,Positive,Bullish
RBI hikes repo rate by 50 bps amid persistent energy inflation concerns,2022-01-27 22:37:02.364472894,Economic Times,Energy,Negative,Bearish
India forex reserves hit 847 billion USD as RBI intervention stabilises rupee,2022-01-28 03:52:27.749549910,BloombergQuint,Energy,Positive,Bullish
NSE updates margin framework for equity derivatives from Aug onwards,2022-01-28 09:07:53.134626925,MoneyControl,Telecom,Neutral,Neutral
SBI announces rights issue at ₹322 per share; record date set,2022-01-28 14:23:18.519703940,Financial Express,Metals & Mining,Neutral,Neutral
Bank of Baroda board rejects merger proposal; institutional investors express concern,2022-01-28 19:38:43.904780956,MoneyControl,Infrastructure,Negative,Bearish
SEBI board meets to review derivative market norms for Q1 FY24,2022-01-29 00:54:09.289857971,MoneyControl,Infrastructure,Neutral,Neutral
RBI hikes repo rate by 35 bps amid persistent services inflation concerns,2022-01-29 06:09:34.674934987,MoneyControl,Pharma,Negative,Bearish
India WPI inflation prints at 4.1% for Nov; IIP data due next week,2022-01-29 11:25:00.060012002,Business Standard,Pharma,Neutral,Neutral
RBI releases draft guidelines on digital lending regulations for public comment,2022-01-29 16:40:25.445089017,Economic Times,Pharma,Neutral,Neutral
"India GDP growth accelerates to 21.8% in Q4, ahead of IMF projections",2022-01-29 21:55:50.830166033,Economic Times,BFSI,Positive,Bullish
Pharma sector FDI inflows at 4745 million USD in April-Jul FY23,2022-01-30 03:11:16.215243048,Business Standard,Pharma,Neutral,Neutral
Monsoon deficit at 35.6% below normal; agri-loan stress feared in Tier-2/3 markets,2022-01-30 08:26:41.600320064,Reuters India,Telecom,Negative,Bearish
SEBI probes Maruti Suzuki for insider trading; shares locked in lower circuit,2022-01-30 13:42:06.985397079,MoneyControl,Metals & Mining,Negative,Bearish
SBI announces rights issue at ₹196 per share; record date set,2022-01-30 18:57:32.370474094,Financial Express,FMCG,Neutral,Neutral
IDFC First Bank NPA ratio rises to 16.4% in Q2; provisions surge QoQ,2022-01-31 00:12:57.755551110,Economic Times,Pharma,Negative,Bearish
MSCI rebalancing: India's weight adjusted to 42.7%; 12 stocks added/removed,2022-01-31 05:28:23.140628125,Business Standard,Energy,Neutral,Neutral
MSCI rebalancing: India's weight adjusted to 21.1%; 4 stocks added/removed,2022-01-31 10:43:48.525705141,Reuters India,FMCG,Neutral,Neutral
Sensex rallies 880 points as FIIs pump ₹4966 Cr into Indian equities,2022-01-31 15:59:13.910782156,CNBC TV18,FMCG,Positive,Bullish
FII outflows drag Sensex 1192 points lower; rupee slips to 84.16 per USD,2022-01-31 21:14:39.295859171,Financial Express,IT Services,Negative,Bearish
Rupee depreciates to historic low of ₹84.42 on trade deficit widening,2022-02-01 02:30:04.680936187,Business Standard,Real Estate,Negative,Bearish
Monsoon deficit at 5.2% below normal; agri-loan stress feared in Tier-2/3 markets,2022-02-01 07:45:30.066013202,MoneyControl,Pharma,Negative,Bearish
"Yes Bank Q2 net profit surges 17.4%, beats Bloomberg analyst estimates",2022-02-01 13:00:55.451090218,Financial Express,Real Estate,Positive,Bullish
RBI hikes repo rate by 50 bps amid persistent services inflation concerns,2022-02-01 18:16:20.836167233,Mint,Auto,Negative,Bearish
NCLAT hears ONGC insolvency appeal; next hearing scheduled for Sep,2022-02-01 23:31:46.221244248,Reuters India,FMCG,Neutral,Neutral
Yes Bank upgrades credit outlook to 'Stable'; Moody's cites strong capital buffers,2022-02-02 04:47:11.606321264,CNBC TV18,Pharma,Positive,Bullish
RBI releases draft guidelines on digital lending regulations for public comment,2022-02-02 10:02:36.991398279,Mint,Auto,Neutral,Neutral
Finance Ministry reviews PLI scheme performance across 12 key sectors,2022-02-02 15:18:02.376475295,Economic Times,BFSI,Neutral,Neutral
"India GDP growth accelerates to 29.6% in Q1, ahead of IMF projections",2022-02-02 20:33:27.761552310,MoneyControl,Infrastructure,Positive,Bullish
NSE updates margin framework for equity derivatives from Aug onwards,2022-02-03 01:48:53.146629326,BloombergQuint,IT Services,Neutral,Neutral
"India GDP growth accelerates to 36.8% in Q2, ahead of IMF projections",2022-02-03 07:04:18.531706341,CNBC TV18,Telecom,Positive,Bullish
RBI monetary policy committee holds repo rate at 7.08%; next review in Apr,2022-02-03 12:19:43.916783356,MoneyControl,Pharma,Neutral,Neutral
"India GDP growth accelerates to 44.2% in Q4, ahead of IMF projections",2022-02-03 17:35:09.301860372,Mint,IT Services,Positive,Bullish
GST collections cross ₹2316 Cr for Febth consecutive month,2022-02-03 22:50:34.686937387,CNBC TV18,Infrastructure,Positive,Bullish
Monsoon deficit at 8.0% below normal; agri-loan stress feared in Tier-2/3 markets,2022-02-04 04:06:00.072014403,Financial Express,Telecom,Negative,Bearish
IDFC First Bank upgrades credit outlook to 'Stable'; Moody's cites strong capital buffers,2022-02-04 09:21:25.457091418,Financial Express,Real Estate,Positive,Bullish
SBI announces rights issue at ₹340 per share; record date set,2022-02-04 14:36:50.842168433,Economic Times,Energy,Neutral,Neutral
India current account deficit widens to 16.7% of GDP in Q2 FY24,2022-02-04 19:52:16.227245449,CNBC TV18,BFSI,Negative,Bearish
RBI releases draft guidelines on digital lending regulations for public comment,2022-02-05 01:07:41.612322464,CNBC TV18,BFSI,Neutral,Neutral
RBI releases draft guidelines on digital lending regulations for public comment,2022-02-05 06:23:06.997399480,Business Standard,Real Estate,Neutral,Neutral
RBI hikes repo rate by 50 bps amid persistent core inflation concerns,2022-02-05 11:38:32.382476495,BloombergQuint,Energy,Negative,Bearish
SEBI approves simplified IPO norms; Dalal Street cheers listing reforms,2022-02-05 16:53:57.767553510,Reuters India,Real Estate,Positive,Bullish
GST collections cross ₹3906 Cr for Febth consecutive month,2022-02-05 22:09:23.152630526,Economic Times,IT Services,Positive,Bullish
NCLAT hears Delhivery insolvency appeal; next hearing scheduled for Mar,2022-02-06 03:24:48.537707541,CNBC TV18,Energy,Neutral,Neutral
Monsoon deficit at 38.6% below normal; agri-loan stress feared in Tier-2/3 markets,2022-02-06 08:40:13.922784557,Mint,Energy,Negative,Bearish
NCLAT hears TCS insolvency appeal; next hearing scheduled for Jun,2022-02-06 13:55:39.307861572,Financial Express,Auto,Neutral,Neutral
Bond yields spike 35bps after higher-than-expected US Fed rate guidance,2022-02-06 19:11:04.692938587,Mint,Energy,Negative,Bearish
Auto sector FDI inflows at 2233 million USD in April-Jul FY22,2022-02-07 00:26:30.078015603,MoneyControl,Auto,Neutral,Neutral
Bond yields spike 50bps after higher-than-expected US Fed rate guidance,2022-02-07 05:41:55.463092618,Reuters India,BFSI,Negative,Bearish
"RBI keeps repo rate unchanged, signals accommodative stance for Q4 FY22",2022-02-07 10:57:20.848169634,CNBC TV18,Pharma,Positive,Bullish
Metals & Mining sector FDI inflows at 1541 million USD in April-Oct FY23,2022-02-07 16:12:46.233246649,BloombergQuint,Metals & Mining,Neutral,Neutral
India current account deficit widens to 25.5% of GDP in Q2 FY23,2022-02-07 21:28:11.618323664,BloombergQuint,BFSI,Negative,Bearish
Bank of Baroda announces rights issue at ₹143 per share; record date set,2022-02-08 02:43:37.003400680,Business Standard,BFSI,Neutral,Neutral
SEBI probes Wipro for insider trading; shares locked in lower circuit,2022-02-08 07:59:02.388477695,CNBC TV18,Pharma,Negative,Bearish
FII outflows drag Sensex 956 points lower; rupee slips to 86.09 per USD,2022-02-08 13:14:27.773554711,Mint,FMCG,Negative,Bearish
India forex reserves hit 3799 billion USD as RBI intervention stabilises rupee,2022-02-08 18:29:53.158631726,Economic Times,Auto,Positive,Bullish
Kotak Mahindra board rejects merger proposal; institutional investors express concern,2022-02-08 23:45:18.543708741,Reuters India,IT Services,Negative,Bearish
Bank of Baroda NPA ratio rises to 29.2% in Q4; provisions surge QoQ,2022-02-09 05:00:43.928785757,Mint,Pharma,Negative,Bearish
FII outflows drag Sensex 742 points lower; rupee slips to 86.48 per USD,2022-02-09 10:16:09.313862772,Financial Express,Telecom,Negative,Bearish
RBI monetary policy committee holds repo rate at 7.16%; next review in Aug,2022-02-09 15:31:34.698939788,Reuters India,Metals & Mining,Neutral,Neutral
RBI hikes repo rate by 35 bps amid persistent food inflation concerns,2022-02-09 20:47:00.084016803,BloombergQuint,IT Services,Negative,Bearish
Finance Ministry reviews PLI scheme performance across 3 key sectors,2022-02-10 02:02:25.469093818,CNBC TV18,Metals & Mining,Neutral,Neutral
IndusInd Bank NPA ratio rises to 9.6% in Q3; provisions surge QoQ,2022-02-10 07:17:50.854170834,CNBC TV18,Energy,Negative,Bearish
Finance Ministry reviews PLI scheme performance across 3 key sectors,2022-02-10 12:33:16.239247849,Business Standard,Auto,Neutral,Neutral
"India GDP growth accelerates to 35.1% in Q4, ahead of IMF projections",2022-02-10 17:48:41.624324865,CNBC TV18,Metals & Mining,Positive,Bullish
RBI releases draft guidelines on digital lending regulations for public comment,2022-02-10 23:04:07.009401880,CNBC TV18,BFSI,Neutral,Neutral
Bond yields spike 25bps after higher-than-expected US Fed rate guidance,2022-02-11 04:19:32.394478895,Financial Express,Pharma,Negative,Bearish
GST collections cross ₹4143 Cr for Aprth consecutive month,2022-02-11 09:34:57.779555911,MoneyControl,FMCG,Positive,Bullish
RBI hikes repo rate by 25 bps amid persistent services inflation concerns,2022-02-11 14:50:23.164632926,Economic Times,IT Services,Negative,Bearish
"HDFC Bank Q1 net profit surges 31.5%, beats Bloomberg analyst estimates",2022-02-11 20:05:48.549709942,Mint,Auto,Positive,Bullish
RBI monetary policy committee holds repo rate at 6.85%; next review in Sep,2022-02-12 01:21:13.934786957,MoneyControl,Pharma,Neutral,Neutral
Finance Ministry reviews PLI scheme performance across 13 key sectors,2022-02-12 06:36:39.319863972,MoneyControl,Energy,Neutral,Neutral
FMCG sector FDI inflows at 4369 million USD in April-Nov FY22,2022-02-12 11:52:04.704940988,Reuters India,FMCG,Neutral,Neutral
FII outflows drag Sensex 1174 points lower; rupee slips to 84.97 per USD,2022-02-12 17:07:30.090018003,MoneyControl,IT Services,Negative,Bearish
"India GDP growth accelerates to 27.6% in Q1, ahead of IMF projections",2022-02-12 22:22:55.475095019,Mint,Metals & Mining,Positive,Bullish
Rupee depreciates to historic low of ₹84.72 on trade deficit widening,2022-02-13 03:38:20.860172034,BloombergQuint,Auto,Negative,Bearish
SEBI board meets to review derivative market norms for Q1 FY24,2022-02-13 08:53:46.245249049,Reuters India,Pharma,Neutral,Neutral
"Nifty 50 hits record 711 as broad-based rally lifts mid-cap, small-cap indices",2022-02-13 14:09:11.630326065,Mint,Energy,Positive,Bullish
Credit card defaults surge 29.6% YoY; RBI flags retail lending risks,2022-02-13 19:24:37.015403080,BloombergQuint,Pharma,Negative,Bearish
Bank of Baroda NPA ratio rises to 19.9% in Q2; provisions surge QoQ,2022-02-14 00:40:02.400480096,CNBC TV18,FMCG,Negative,Bearish
MSCI rebalancing: India's weight adjusted to 25.3%; 3 stocks added/removed,2022-02-14 05:55:27.785557111,Business Standard,Metals & Mining,Neutral,Neutral
